epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4596.13,0.47147,0.39057,0.89804,0.9999,0.998,0.995,0.90511,0.47478,0.21496,0.83814,0.00333251,0.00333251,0.00333251
2,9140.72,0.451,0.27321,0.89552,0.99999,1,0.995,0.92305,0.42877,0.20873,0.84677,0.00653386,0.00653386,0.00653386
3,13552.3,0.46023,0.2756,0.90112,0.99855,0.99885,0.99498,0.91567,0.44532,0.21692,0.85125,0.00960321,0.00960321,0.00960321
4,17834.9,0.44226,0.26141,0.89736,0.99998,1,0.995,0.91599,0.44747,0.18887,0.85986,0.009406,0.009406,0.009406
5,22149.1,0.40236,0.23421,0.88284,0.99991,0.99979,0.995,0.92374,0.42701,0.18027,0.85278,0.009208,0.009208,0.009208
6,26494.9,0.38153,0.21933,0.87496,0.99999,1,0.995,0.92002,0.42862,0.17366,0.85094,0.00901,0.00901,0.00901
7,30791.5,0.36605,0.20914,0.87285,0.99999,1,0.995,0.92219,0.42695,0.17004,0.85602,0.008812,0.008812,0.008812
8,35065.1,0.35672,0.20271,0.86871,0.99999,1,0.995,0.92087,0.4251,0.16529,0.85267,0.008614,0.008614,0.008614
9,39355.4,0.34597,0.19849,0.86459,0.99999,1,0.995,0.91867,0.43569,0.16363,0.8579,0.008416,0.008416,0.008416
10,43634.9,0.34054,0.19303,0.86341,1,1,0.995,0.91972,0.43031,0.16078,0.85632,0.008218,0.008218,0.008218
11,47854.9,0.33279,0.18867,0.86064,0.99954,1,0.995,0.92065,0.42597,0.16035,0.85344,0.00802,0.00802,0.00802
12,52012.2,0.32699,0.18506,0.85791,0.99998,1,0.995,0.92164,0.42284,0.1568,0.85466,0.007822,0.007822,0.007822
13,56189.8,0.32259,0.18308,0.85734,0.99999,1,0.995,0.9205,0.42497,0.15676,0.8555,0.007624,0.007624,0.007624
14,60358.8,0.3149,0.17894,0.85441,0.99999,1,0.995,0.92083,0.42274,0.15493,0.85484,0.007426,0.007426,0.007426
15,64609.5,0.31153,0.17643,0.85303,1,1,0.995,0.92017,0.42321,0.15401,0.85573,0.007228,0.007228,0.007228
16,68753.2,0.30799,0.1752,0.85281,1,1,0.995,0.91928,0.42472,0.15334,0.85678,0.00703,0.00703,0.00703
